Module Name,Phisycal Name,Bench Name,Unit Name,Data Type,Unit Type,Unit Measure,Decimals,LinkChannel,ModuleID,ChannelID,Description
DSG_CanCcp,dwkrz_2_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,112,
DSG_CanCcp,dwkrz_3_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,113,
DSG_CanCcp,dwkrz_4_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,114,
DSG_CanCcp,dwkrz_5_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,115,
DSG_CanCcp,dzwwl_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,116,
DSG_CanCcp,nmot_w_CCP2_AE31a,,,SINGLE,GENERIC,1/min,2,,3005,117,
DSG_CanCcp,tez_l_0_CCP2_AE31a,,,SINGLE,GENERIC,ms,2,,3005,118,
DSG_CanCcp,tez_l_1_CCP2_AE31a,,,SINGLE,GENERIC,ms,2,,3005,119,
DSG_CanCcp,tez_l_2_CCP2_AE31a,,,SINGLE,GENERIC,ms,2,,3005,120,
DSG_CanCcp,tez_l_3_CCP2_AE31a,,,SINGLE,GENERIC,ms,2,,3005,121,
DSG_CanCcp,tez_l_4_CCP2_AE31a,,,SINGLE,GENERIC,ms,2,,3005,122,
DSG_CanCcp,tez_l_5_CCP2_AE31a,,,SINGLE,GENERIC,ms,2,,3005,123,
DSG_CanCcp,wee_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,124,
DSG_CanCcp,wnwa_w_CCP2_AE31a,,wnwa_w_CCP2_AE31a,SINGLE,GENERIC,Grad KW,2,,3005,125,
DSG_CanCcp,wnwe_w_CCP2_AE31a,,wnwe_w_CCP2_AE31a,SINGLE,GENERIC,Grad KW,2,,3005,126,
DSG_CanCcp,wnwsa_w_CCP2_AE31a,,wnwsa_w_CCP2_AE31a,SINGLE,GENERIC,Grad KW,2,,3005,127,
DSG_CanCcp,wnwse_w_CCP2_AE31a,,wnwse_w_CCP2_AE31a,SINGLE,GENERIC,Grad KW,2,,3005,128,
DSG_CanCcp,zwbas_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,129,
DSG_CanCcp,zwgru_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,130,
DSG_CanCcp,zwist_CCP2_AE31a,,zwist_CCP2_AE31a,SINGLE,GENERIC,Grad KW,2,,3005,131,
DSG_CanCcp,zwout_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,132,
DSG_CanCcp,DFES_ctEntry_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,812,
DSG_CanCcp,DFES_numDFC_0_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,133,
DSG_CanCcp,DFES_numDFC_1_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,134,
DSG_CanCcp,DFES_numDFC_10_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,135,
DSG_CanCcp,DFES_numDFC_11_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,136,
DSG_CanCcp,DFES_numDFC_12_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,137,
DSG_CanCcp,DFES_numDFC_13_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,138,
DSG_CanCcp,DFES_numDFC_14_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,139,
DSG_CanCcp,DFES_numDFC_15_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,140,
DSG_CanCcp,DFES_numDFC_16_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,141,
DSG_CanCcp,DFES_numDFC_17_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,142,
DSG_CanCcp,DFES_numDFC_18_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,143,
DSG_CanCcp,DFES_numDFC_19_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,144,
DSG_CanCcp,DFES_numDFC_2_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,145,
DSG_CanCcp,DFES_numDFC_3_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,146,
DSG_CanCcp,DFES_numDFC_4_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,147,
DSG_CanCcp,DFES_numDFC_5_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,148,
DSG_CanCcp,DFES_numDFC_6_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,149,
DSG_CanCcp,DFES_numDFC_7_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,150,
DSG_CanCcp,DFES_numDFC_8_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,151,
DSG_CanCcp,DFES_numDFC_9_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,152,
DSG_CanCcp,fr_w_CCP2_AE31a,,fr_w_CCP2_AE31a,SINGLE,GENERIC,-,2,,3005,153,
DSG_CanCcp,frm_w_CCP2_AE31a,,frm_w_CCP2_AE31a,SINGLE,GENERIC,-,2,,3005,154,
DSG_CanCcp,hatlstr_w_CCP2_AE31a,,hatlstr_w_CCP2_AE31a,SINGLE,GENERIC,-,2,,3005,155,
DSG_CanCcp,hatlstsr_w_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,156,
DSG_CanCcp,lambas_w_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,157,
DSG_CanCcp,lamsbg_w_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,158,
DSG_CanCcp,lamsoni_w_CCP2_AE31a,,lamsoni_w_CCP2_AE31a,SINGLE,GENERIC,-,2,,3005,159,
DSG_CanCcp,lamsons_w_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,160,
DSG_CanCcp,lbtsaw_w_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,161,
DSG_CanCcp,mshfm_w_CCP2_AE31a,,mshfm_w_CCP2_AE31a,SINGLE,GENERIC,kg/h,2,,3005,162,
DSG_CanCcp,Oil_bPSwtVlvCtl_CCP2_AE31a,,Oil_bPSwtVlvCtl_CCP2_AE31a,SINGLE,GENERIC,,2,,3005,163,
DSG_CanCcp,Oil_tSwmp_CCP2_AE31a,,,SINGLE,GENERIC,deg C,2,,3005,164,
DSG_CanCcp,OilP_p_CCP2_AE31a,,OilP_p_CCP2_AE31a,SINGLE,GENERIC,hPa,2,,3005,165,
DSG_CanCcp,pistnd_w_CCP2_AE31a,,pistnd_CCP2_AE31a,SINGLE,GENERIC,kPa,2,,3005,166,
DSG_CanCcp,psollnd_w_CCP2_AE31a,,,SINGLE,GENERIC,kPa,2,,3005,167,
DSG_CanCcp,psr_w_CCP2_AE31a,,psr_w_CCP2_AE31a,SINGLE,GENERIC,hPa,2,,3005,168,
DSG_CanCcp,psrs_w_CCP2_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,169,
DSG_CanCcp,pvd_w_CCP2_AE31a,,pvd_w_CCP2_AE31a,SINGLE,GENERIC,hPa,2,,3005,170,
DSG_CanCcp,pvds_w_CCP2_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,171,
DSG_CanCcp,rk_w_CCP2_AE31a,,,SINGLE,GENERIC,%,2,,3005,172,
DSG_CanCcp,rl_w_CCP2_AE31a,,rl_w_CCP2_AE31a,SINGLE,GENERIC,%,2,,3005,173,
DSG_CanCcp,rlsol_w_CCP2_AE31a,,,SINGLE,GENERIC,%,2,,3005,174,
DSG_CanCcp,ub_CCP2_AE31a,,,SINGLE,GENERIC,V,2,,3005,175,
DSG_CanCcp,wdkba_w_CCP2_AE31a,,wdkba_w_CCP2_AE31a,SINGLE,GENERIC,%DK,2,,3005,176,
DSG_CanCcp,wdkls_w_CCP2_AE31a,,,SINGLE,GENERIC,%,2,,3005,177,
DSG_CanCcp,wped_w_CCP2_AE31a,,wped_w_CCP2_AE31a,SINGLE,GENERIC,% PED,2,,3005,178,
DSG_CanCcp,ActMod_trqClth_CCP2_AE31a,,,SINGLE,GENERIC,Nm,2,,3005,179,
DSG_CanCcp,ActMod_trqInr_CCP2_AE31a,,,SINGLE,GENERIC,Nm,2,,3005,180,
